--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
resize_line_chatwin1000/.ipynb_checkpoints/data126_double10_double-checkpoint.jpg	[11:34] 오 퉤 (신 짜오 잡자     	0.8910
resize_line_chatwin1000/.ipynb_checkpoints/data126_double11_double-checkpoint.jpg	[01:55] 인간제는지지 여루해요 미미스 포츈 머깟하고실네	0.0016
resize_line_chatwin1000/.ipynb_checkpoints/data126_double12_double-checkpoint.jpg	[11:39] 오 퉤 (신 짜오) 람까불어보자	0.2146
resize_line_chatwin1000/.ipynb_checkpoints/data126_double13_double-checkpoint.jpg	[11:22] 까편터 (다리우스) 생각    	0.1284
resize_line_chatwin1000/.ipynb_checkpoints/data126_double_double-checkpoint.jpg	[13: 인간쳐는지쿠해요 미스 포츈 이기든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지	0.0156
resize_line_chatwin1000/.ipynb_checkpoints/data251_double13_double-checkpoint.jpg	[21:23] 짜 쓰 짜 스 (진): 니2을 	0.0401
resize_line_chatwin1000/data126_double2_double.jpg	[11:33] 오 퉤 (신 자오님이 가고 있음 	0.5302
resize_line_chatwin1000/data126_double3_double.jpg	[12:46] 소환사구경터 (오리아      	0.7823
resize_line_chatwin1000/data126_double4_double.jpg	[14:4인 인간계는지지 해루해서 미스 프츈 진짜 는	0.0055
resize_line_chatwin1000/data126_double5_double.jpg	^ [13:52] 인간계는지 투해요 미스스 프춘 (리이다 쎅	0.0026
resize_line_chatwin1000/data126_double6_double.jpg	[13:24] 오 퉤 (신 자오님이 가고 있음 	0.3827
resize_line_chatwin1000/data126_double7_double.jpg	vy-a 4w-w-w-w-w- ~-      	0.0004
resize_line_chatwin1000/data126_double8_double.jpg	[11:51] 편편티 (다리우스) 궁     	0.0980
resize_line_chatwin1000/data126_double9_double.jpg	[11:50] 예편티 (다리우스) 쉔     	0.1741
resize_line_chatwin1000/data126_double10_double.jpg	[11:34] 오 퉤 (신 짜오 잡자     	0.8910
resize_line_chatwin1000/data126_double11_double.jpg	[01:55] 인간제는지지 여루해요 미미스 포츈 머깟하고실네	0.0016
resize_line_chatwin1000/data126_double12_double.jpg	[11:39] 오 퉤 (신 짜오) 람까불어보자	0.2146
resize_line_chatwin1000/data126_double13_double.jpg	[11:22] 까편터 (다리우스) 생각    	0.1284
resize_line_chatwin1000/data126_double_double.jpg	[13: 인간쳐는지쿠해요 미스 포츈 이기든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지든 지	0.0156
resize_line_chatwin1000/data127_double2_double.jpg	[1133 살 퉤 (신 짜오 시료 성픈    	0.0021
resize_line_chatwin1000/data127_double3_double.jpg	[11:23] 소환사사경터다 오오하아니님이 제어 와드	0.1054
resize_line_chatwin1000/data127_double4_double.jpg	[17:37] 쉑 퉤 신 짜외님이 가고 있음 	0.0307
resize_line_chatwin1000/data127_double5_double.jpg	구입입 했습니다다 ,              	0.0539
resize_line_chatwin1000/data127_double6_double.jpg	[11:33] 뮷 퉤 신 자외님이 가고 있은 죶	0.0008
resize_line_chatwin1000/data127_double7_double.jpg	이제 감정표현을 무시합니다 인간계는지 해에요 	0.1029
resize_line_chatwin1000/data127_double8_double.jpg	[11: 인전게는지들 (미스 미순 더룩하고의서	0.0000
resize_line_chatwin1000/data127_double9_double.jpg	[11:29] 오 퉤 (신 짜오) 함     	0.8821
resize_line_chatwin1000/data127_double10_double.jpg	0133 인선계는지 하으 지스 프좆 죄라스 ^	0.0000
resize_line_chatwin1000/data127_double11_double.jpg	[11:33] 오 퉤 (신 짜오님이 가고 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음 있음	0.0000
resize_line_chatwin1000/data127_double12_double.jpg	[11:28] 오 퉤 (신 짜오): oka  	0.3736
resize_line_chatwin1000/data127_double13_double.jpg	[11:39] 오둬 (신 짜오): 함까들어보자 	0.1001
resize_line_chatwin1000/data127_double14_double.jpg	[11:34] 오 퉤 (신 짜외) 잡자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 씝자 	0.0000
resize_line_chatwin1000/data127_double15_double.jpg	[11:31] 오 퉤 (신 짜오) 깝쳐보면인몸이	0.0610
resize_line_chatwin1000/data127_double_double.jpg	[11:39] 퉤 신신 자외 님이 샤코오의 사뢰 지	0.0099
resize_line_chatwin1000/data128_double2_double.jpg	( [4언서 서북오의 사넷 닙이 끄디다의스 님의 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연속킬 연	0.0000
resize_line_chatwin1000/data128_double3_double.jpg	[06:37] 인간계는지지 (루해오 (미스 포춘 시저라스님	0.0101
resize_line_chatwin1000/data128_double4_double.jpg	[0444 소환사구 정정하): 없르아니님 의림 신토를 보난 싀	0.0000
resize_line_chatwin1000/data128_double5_double.jpg	(06: 적발 체려스님 요요려 스스트 \료 간로	0.0000
resize_line_chatwin1000/data128_double6_double.jpg	[04:49] 인간체는 지루해의 미스 포츈 그면먹어요 씝	0.0004
resize_line_chatwin1000/data128_double7_double.jpg	[08:36] 껴히 (다리우스): 겁나아프네 씝	0.0210
resize_line_chatwin1000/data128_double8_double.jpg	[08: 인간게놈지 기뤼에 미스 포츈 우려틱 미니언 쎅	0.0001
resize_line_chatwin1000/data128_double9_double.jpg	[08:31] 편편티 (다리우스) 와     	0.1776
resize_line_chatwin1000/data128_double_double.jpg	[07:0 편터 (다리우스 님이 사하젓다고 얼칼	0.0015
resize_line_chatwin1000/data129_double2_double.jpg	` [05:58] 이려지만시 디블려네어): 누기 누구라 두으요	0.0003
resize_line_chatwin1000/data129_double3_double.jpg	( [555 적발 (제라스넘이 적이 사라것다고 알림 죶	0.0010
resize_line_chatwin1000/data129_double4_double.jpg	[10:2 ]래한 놈탈린 끼피끼리 두으하) 죳	0.0001
resize_line_chatwin1000/data129_double5_double.jpg	[10:42] 양면 색종이 (나르) 바릴두의겠지 쎅	0.0872
resize_line_chatwin1000/data129_double6_double.jpg	(0에:51] (레년 선비두토 케이틀린) 저라스 신피주면	0.0000
resize_line_chatwin1000/data129_double7_double.jpg	[03:3 ] 시시 안하로띠 (마오카이) 누구 신고해줄고 	0.0012
resize_line_chatwin1000/data129_double8_double.jpg	[10:49] 희우린 (베인) 내가 쟤랑와두오하냐	0.3466
resize_line_chatwin1000/data129_double9_double.jpg	[10:00] 후우린 베인 오픈 이      	0.4122
resize_line_chatwin1000/data129_double10_double.jpg	[ [10:44] 이러지맙시다 (볼리베어): * 	0.0129
resize_line_chatwin1000/data129_double11_double.jpg	[10:24] 이러지맙시다 (볼리베어 쩝   	0.6707
resize_line_chatwin1000/data129_double12_double.jpg	[11:03] 후우린 (베인):        	0.9830
resize_line_chatwin1000/data129_double13_double.jpg	[10:41] 유쾌한 놈 (탈론 니지     	0.0626
resize_line_chatwin1000/data129_double14_double.jpg	[10:44] 후우린 (베인):        	0.9557
resize_line_chatwin1000/data129_double15_double.jpg	[10:11] (전체 컨공의방패 (레오나 제라스 아님 ,	0.0002
resize_line_chatwin1000/data129_double16_double.jpg	[11:05] 후우린 (베인) 이거 내잘못임이	0.2853
resize_line_chatwin1000/data129_double_double.jpg	[0444이이 이터지맙시다 볼리버어 넘이 지원 요청을 보엠	0.0015
